"log_date","app_name","action_name","user_id","count"
"2013-07-08","game-01","battle",377,1
"2013-07-08","game-01","battle",377,1
"2013-07-08","game-01","battle",377,1
"2013-07-08","game-01","battle",377,1
"2013-07-08","game-01","battle",377,1
"2013-07-08","game-01","battle",457,2
"2013-07-08","game-01","battle",457,5
"2013-07-08","game-01","battle",457,1
"2013-07-08","game-01","battle",13,1
"2013-07-08","game-01","battle",2359,1
"2013-07-08","game-01","battle",2359,1
"2013-07-08","game-01","battle",2359,1
"2013-07-08","game-01","battle",2678,1
