"log_date"	"app_name"	"user_id"
"2013-08-01"	"game-01"	783025
"2013-08-01"	"game-01"	171325
"2013-08-01"	"game-01"	888105
"2013-08-01"	"game-01"	329535
"2013-08-01"	"game-01"	719107
"2013-08-01"	"game-01"	923488
"2013-08-01"	"game-01"	263758
"2013-08-01"	"game-01"	984497
"2013-08-01"	"game-01"	34445
"2013-08-01"	"game-01"	454476
"2013-08-01"	"game-01"	721356
"2013-08-01"	"game-01"	776853
"2013-08-01"	"game-01"	525047
"2013-08-01"	"game-01"	113600
"2013-08-01"	"game-01"	950253
"2013-08-01"	"game-01"	149968
"2013-08-01"	"game-01"	855431
"2013-08-01"	"game-01"	776120
"2013-08-01"	"game-01"	476467
"2013-08-01"	"game-01"	660088
"2013-08-01"	"game-01"	799948
"2013-08-01"	"game-01"	71822
"2013-08-01"	"game-01"	692433
"2013-08-01"	"game-01"	285773
"2013-08-01"	"game-01"	424225
"2013-08-01"	"game-01"	842044
"2013-08-01"	"game-01"	735717
"2013-08-01"	"game-01"	771033
"2013-08-01"	"game-01"	438243
"2013-08-01"	"game-01"	998387
"2013-08-01"	"game-01"	969542
"2013-08-01"	"game-01"	545099
"2013-08-01"	"game-01"	816887
"2013-08-01"	"game-01"	557992
"2013-08-01"	"game-01"	10317
"2013-08-01"	"game-01"	347943
"2013-08-01"	"game-01"	363495
"2013-08-01"	"game-01"	911567
"2013-08-01"	"game-01"	174782
"2013-08-01"	"game-01"	348523
"2013-08-01"	"game-01"	617233
"2013-08-01"	"game-01"	360220
"2013-08-01"	"game-01"	652345
"2013-08-01"	"game-01"	245967
"2013-08-01"	"game-01"	452461
"2013-08-01"	"game-01"	234375
"2013-08-01"	"game-01"	687367
"2013-08-01"	"game-01"	677750
"2013-08-01"	"game-01"	873653
"2013-08-01"	"game-01"	797659
"2013-08-01"	"game-01"	513769
"2013-08-01"	"game-01"	227992
"2013-08-01"	"game-01"	464266
"2013-08-01"	"game-01"	998493
"2013-08-01"	"game-01"	780358
"2013-08-01"	"game-01"	742626
"2013-08-01"	"game-01"	293261
"2013-08-01"	"game-01"	533093
"2013-08-01"	"game-01"	424950
"2013-08-01"	"game-01"	128290
"2013-08-01"	"game-01"	507219
"2013-08-01"	"game-01"	658531
"2013-08-01"	"game-01"	705026
"2013-08-01"	"game-01"	75617
"2013-08-01"	"game-01"	224645
"2013-08-01"	"game-01"	527794
"2013-08-01"	"game-01"	53876
"2013-08-01"	"game-01"	661832
"2013-08-01"	"game-01"	769851
"2013-08-01"	"game-01"	331116
"2013-08-01"	"game-01"	215742
"2013-08-01"	"game-01"	454467
"2013-08-01"	"game-01"	710467
"2013-08-01"	"game-01"	916124
"2013-08-01"	"game-01"	571744
"2013-08-01"	"game-01"	799558
"2013-08-01"	"game-01"	671354
"2013-08-01"	"game-01"	200041
"2013-08-01"	"game-01"	563730
"2013-08-01"	"game-01"	905927
"2013-08-01"	"game-01"	705181
"2013-08-01"	"game-01"	22296
"2013-08-01"	"game-01"	936091
"2013-08-01"	"game-01"	445226
"2013-08-01"	"game-01"	334247
"2013-08-01"	"game-01"	581192
"2013-08-01"	"game-01"	877129
"2013-08-01"	"game-01"	204105
"2013-08-01"	"game-01"	983407
"2013-08-01"	"game-01"	935433
"2013-08-01"	"game-01"	343705
"2013-08-01"	"game-01"	139318
"2013-08-01"	"game-01"	145139
"2013-08-01"	"game-01"	813790
"2013-08-01"	"game-01"	660633
"2013-08-01"	"game-01"	853465
"2013-08-01"	"game-01"	207203
"2013-08-01"	"game-01"	733521
"2013-08-01"	"game-01"	337521
"2013-08-01"	"game-01"	684217
"2013-08-01"	"game-01"	219501
"2013-08-01"	"game-01"	827371
"2013-08-01"	"game-01"	487215
"2013-08-01"	"game-01"	125600
"2013-08-01"	"game-01"	204617
"2013-08-01"	"game-01"	126608
"2013-08-01"	"game-01"	420553
"2013-08-01"	"game-01"	762546
"2013-08-01"	"game-01"	260648
"2013-08-01"	"game-01"	514372
"2013-08-01"	"game-01"	397698
"2013-08-01"	"game-01"	411433
"2013-08-01"	"game-01"	863065
"2013-08-01"	"game-01"	89942
"2013-08-01"	"game-01"	818870
"2013-08-01"	"game-01"	350872
"2013-08-01"	"game-01"	235706
"2013-08-01"	"game-01"	506134
"2013-08-01"	"game-01"	377047
"2013-08-01"	"game-01"	371877
"2013-08-01"	"game-01"	698195
"2013-08-01"	"game-01"	658501
"2013-08-01"	"game-01"	69575
"2013-08-01"	"game-01"	33782
"2013-08-01"	"game-01"	436316
"2013-08-01"	"game-01"	209136
"2013-08-01"	"game-01"	388977
"2013-08-01"	"game-01"	777158
"2013-08-01"	"game-01"	327481
"2013-08-01"	"game-01"	254487
"2013-08-01"	"game-01"	246912
"2013-08-01"	"game-01"	501649
"2013-08-01"	"game-01"	981845
"2013-08-01"	"game-01"	648227
"2013-08-01"	"game-01"	423145
"2013-08-01"	"game-01"	229581
"2013-08-01"	"game-01"	619600
"2013-08-01"	"game-01"	572933
"2013-08-01"	"game-01"	474713
"2013-08-01"	"game-01"	31580
"2013-08-01"	"game-01"	533862
"2013-08-01"	"game-01"	97796
"2013-08-01"	"game-01"	499326
"2013-08-01"	"game-01"	364056
"2013-08-01"	"game-01"	46865
"2013-08-01"	"game-01"	982205
"2013-08-01"	"game-01"	134346
"2013-08-01"	"game-01"	858567
"2013-08-01"	"game-01"	429939
"2013-08-01"	"game-01"	751956
"2013-08-01"	"game-01"	92249
"2013-08-01"	"game-01"	279431
"2013-08-01"	"game-01"	46078
"2013-08-01"	"game-01"	871492
"2013-08-01"	"game-01"	404946
"2013-08-01"	"game-01"	265317
"2013-08-01"	"game-01"	345084
"2013-08-01"	"game-01"	592137
"2013-08-01"	"game-01"	805458
"2013-08-01"	"game-01"	642780
"2013-08-01"	"game-01"	658947
"2013-08-01"	"game-01"	516413
"2013-08-01"	"game-01"	170237
"2013-08-01"	"game-01"	556397
"2013-08-01"	"game-01"	418365
"2013-08-01"	"game-01"	759979
