"log_date"	"log_hour"	"app_name"	"user_id"	"count"
"2013-08-29"	19	"game-01"	1973	186
"2013-08-29"	10	"game-01"	1973	169
"2013-08-29"	9	"game-01"	1973	221
"2013-08-29"	19	"game-01"	1145	25
"2013-08-29"	22	"game-01"	4005	12
"2013-08-29"	6	"game-01"	4729	42
"2013-08-29"	7	"game-01"	4729	60
"2013-08-29"	12	"game-01"	4729	14
"2013-08-29"	18	"game-01"	5252	27
"2013-08-29"	7	"game-01"	5252	122
"2013-08-29"	6	"game-01"	3752	4
"2013-08-29"	21	"game-01"	6817	89
"2013-08-29"	0	"game-01"	6817	55
"2013-08-29"	14	"game-01"	6817	236
"2013-08-29"	23	"game-01"	6817	122
"2013-08-29"	6	"game-01"	6817	70
"2013-08-29"	7	"game-01"	6817	318
"2013-08-29"	11	"game-01"	4176	76
"2013-08-29"	23	"game-01"	4176	55
"2013-08-29"	0	"game-01"	4176	92
"2013-08-29"	5	"game-01"	4176	20
"2013-08-29"	22	"game-01"	4176	21
"2013-08-29"	1	"game-01"	4176	160
"2013-08-29"	10	"game-01"	4176	66
"2013-08-29"	4	"game-01"	5105	43
"2013-08-29"	4	"game-01"	7723	9
"2013-08-29"	16	"game-01"	7325	11
"2013-08-29"	9	"game-01"	7325	49
"2013-08-29"	1	"game-01"	7325	9
"2013-08-29"	2	"game-01"	7325	35
"2013-08-29"	15	"game-01"	7325	8
"2013-08-29"	4	"game-01"	6727	36
"2013-08-29"	9	"game-01"	6727	3
"2013-08-29"	13	"game-01"	3908	41
"2013-08-29"	4	"game-01"	6956	3
"2013-08-29"	3	"game-01"	6956	39
"2013-08-29"	8	"game-01"	7829	3
"2013-08-29"	23	"game-01"	7829	10
"2013-08-29"	8	"game-01"	3146	3
"2013-08-29"	21	"game-01"	5418	38
"2013-08-29"	10	"game-01"	5418	3
"2013-08-29"	16	"game-01"	5765	10
"2013-08-29"	10	"game-01"	5765	50
"2013-08-29"	15	"game-01"	5765	102
"2013-08-29"	19	"game-01"	3700	182
"2013-08-29"	10	"game-01"	3700	18
"2013-08-29"	9	"game-01"	3700	74
"2013-08-29"	6	"game-01"	5920	3
"2013-08-29"	21	"game-01"	5920	97
"2013-08-29"	15	"game-01"	9540	46
"2013-08-29"	2	"game-01"	9540	110
"2013-08-29"	1	"game-01"	9540	60
"2013-08-29"	11	"game-01"	9540	669
"2013-08-29"	19	"game-01"	9540	44
"2013-08-29"	14	"game-01"	9540	240
"2013-08-29"	12	"game-01"	9540	271
"2013-08-29"	21	"game-01"	9540	328
"2013-08-29"	3	"game-01"	9540	244
"2013-08-29"	0	"game-01"	9540	405
"2013-08-29"	4	"game-01"	9540	51
"2013-08-29"	22	"game-01"	9540	174
"2013-08-29"	10	"game-01"	9540	222
"2013-08-29"	6	"game-01"	9540	10
"2013-08-29"	20	"game-01"	9540	7
"2013-08-29"	13	"game-01"	9540	39
"2013-08-29"	23	"game-01"	9540	50
"2013-08-29"	5	"game-01"	9540	55
"2013-08-29"	16	"game-01"	7093	109
"2013-08-29"	10	"game-01"	7093	133
"2013-08-29"	17	"game-01"	7093	22
"2013-08-29"	11	"game-01"	7093	103
"2013-08-29"	15	"game-01"	7093	22
"2013-08-29"	14	"game-01"	7093	193
"2013-08-29"	13	"game-01"	7093	82
"2013-08-29"	6	"game-01"	7093	367
