"log_date","app_name","action_name","user_id","count"
"2013-08-20","game-01","message",10,1
"2013-08-20","game-01","message",13,3
"2013-08-20","game-01","message",24,2
"2013-08-20","game-01","message",133,3
"2013-08-20","game-01","message",377,9
"2013-08-20","game-01","message",692,2
"2013-08-20","game-01","message",851,1
"2013-08-20","game-01","message",941,1
"2013-08-20","game-01","message",974,2
"2013-08-20","game-01","message",1128,5
"2013-08-20","game-01","message",1143,1
"2013-08-20","game-01","message",1184,5
"2013-08-20","game-01","message",1481,2
"2013-08-20","game-01","message",1484,1
"2013-08-20","game-01","message",1536,1
"2013-08-20","game-01","message",1940,1
"2013-08-20","game-01","message",2191,4
"2013-08-20","game-01","message",2344,2
"2013-08-20","game-01","message",2484,3
"2013-08-20","game-01","message",2495,3
"2013-08-20","game-01","message",2501,12
"2013-08-20","game-01","message",2534,92
"2013-08-20","game-01","message",2678,2
"2013-08-20","game-01","message",2737,3
"2013-08-20","game-01","message",2791,2
"2013-08-20","game-01","message",2792,1
"2013-08-20","game-01","message",2793,3
"2013-08-20","game-01","message",2794,6
"2013-08-20","game-01","message",2908,3
"2013-08-20","game-01","message",2968,1
"2013-08-20","game-01","message",2975,3
"2013-08-20","game-01","message",3000,2
"2013-08-20","game-01","message",3057,1
"2013-08-20","game-01","message",3192,8
"2013-08-20","game-01","message",3250,6
"2013-08-20","game-01","message",3574,1
"2013-08-20","game-01","message",3583,50
"2013-08-20","game-01","message",3624,1
"2013-08-20","game-01","message",3628,3
"2013-08-20","game-01","message",3639,3
"2013-08-20","game-01","message",3703,3
"2013-08-20","game-01","message",3714,1
"2013-08-20","game-01","message",3772,29
"2013-08-20","game-01","message",3790,3
"2013-08-20","game-01","message",3807,3
"2013-08-20","game-01","message",3826,1
"2013-08-20","game-01","message",3828,3
"2013-08-20","game-01","message",3922,4
"2013-08-20","game-01","message",3989,2
"2013-08-20","game-01","message",4003,2
"2013-08-20","game-01","message",4192,14
"2013-08-20","game-01","message",4259,2
"2013-08-20","game-01","message",4396,7
"2013-08-20","game-01","message",4406,2
"2013-08-20","game-01","message",4421,31
"2013-08-20","game-01","message",4520,9
"2013-08-20","game-01","message",4546,1
"2013-08-20","game-01","message",4549,7
"2013-08-20","game-01","message",4582,3
"2013-08-20","game-01","message",4590,9
"2013-08-20","game-01","message",4592,2
"2013-08-20","game-01","message",4593,1
"2013-08-20","game-01","message",4598,21
"2013-08-20","game-01","message",4599,2
"2013-08-20","game-01","message",4601,1
"2013-08-20","game-01","message",4602,10
"2013-08-20","game-01","message",4604,4
"2013-08-20","game-01","message",4605,5
"2013-08-20","game-01","message",4606,1
"2013-08-20","game-01","message",4607,1
"2013-08-20","game-01","message",4608,6
