"log_date","app_name","action_name","user_id","battle_count"
"702705201","game-01","battle",1458,1
"702705201","game-01","battle",1458,1
"702705201","game-01","battle",1458,1
"702705201","game-01","battle",1458,1
"702705201","game-01","battle",1458,1
"702705201","game-01","battle",1458,2
"702705201","game-01","battle",1458,1
"702705201","game-01","battle",1458,1
"702705201","game-01","battle",1458,1
"702705201","game-01","battle",1458,3
"702705201","game-01","battle",1458,3
"702705201","game-01","battle",1458,1
"702705201","game-01","battle",1458,1
"702705201","game-01","battle",1458,1
"702705201","game-01","battle",1458,1
"702705201","game-01","battle",1458,1
"702705201","game-01","battle",1458,1
