"log_date"	"app_name"	"user_id"	"payment"
"2013-08-28"	"game-01"	776853	81
"2013-08-28"	"game-01"	776120	81
"2013-08-28"	"game-01"	219501	571
"2013-08-28"	"game-01"	219501	324
"2013-08-28"	"game-01"	219501	81
"2013-08-28"	"game-01"	219501	1142
"2013-08-28"	"game-01"	698195	81
"2013-08-28"	"game-01"	183356	405
"2013-08-28"	"game-01"	804005	81
"2013-08-28"	"game-01"	518124	405
"2013-08-28"	"game-01"	321574	81
"2013-08-28"	"game-01"	473727	81
"2013-08-28"	"game-01"	692383	81
"2013-08-28"	"game-01"	692383	81
"2013-08-28"	"game-01"	18886	567
"2013-08-28"	"game-01"	596056	81
"2013-08-28"	"game-01"	921809	243
"2013-08-28"	"game-01"	758396	81
"2013-08-28"	"game-01"	846205	81
"2013-08-28"	"game-01"	196570	81
"2013-08-28"	"game-01"	600591	81
"2013-08-28"	"game-01"	5989	729
"2013-08-28"	"game-01"	826697	324
"2013-08-28"	"game-01"	826697	405
"2013-08-28"	"game-01"	119720	162
"2013-08-28"	"game-01"	119720	81
"2013-08-28"	"game-01"	733887	571
"2013-08-28"	"game-01"	811863	81
"2013-08-28"	"game-01"	33718	81
"2013-08-28"	"game-01"	211199	81
"2013-08-28"	"game-01"	11595	162
"2013-08-28"	"game-01"	11595	1333
