"log_date"	"log_hour"	"app_name"	"user_id"	"count"
"2013-08-10"	2	"game-01"	1973	30
"2013-08-10"	5	"game-01"	1973	32
"2013-08-10"	8	"game-01"	1973	70
"2013-08-10"	1	"game-01"	1973	14
"2013-08-10"	16	"game-01"	1973	74
"2013-08-10"	17	"game-01"	1973	16
"2013-08-10"	20	"game-01"	351	10
"2013-08-10"	21	"game-01"	4005	75
"2013-08-10"	7	"game-01"	390	39
"2013-08-10"	9	"game-01"	390	49
"2013-08-10"	15	"game-01"	390	27
"2013-08-10"	6	"game-01"	390	86
"2013-08-10"	8	"game-01"	390	47
"2013-08-10"	12	"game-01"	390	30
"2013-08-10"	5	"game-01"	390	231
"2013-08-10"	0	"game-01"	390	24
"2013-08-10"	13	"game-01"	390	217
"2013-08-10"	16	"game-01"	390	151
"2013-08-10"	14	"game-01"	390	60
"2013-08-10"	10	"game-01"	390	8
"2013-08-10"	17	"game-01"	390	20
"2013-08-10"	11	"game-01"	390	45
"2013-08-10"	17	"game-01"	5252	87
"2013-08-10"	13	"game-01"	5252	47
"2013-08-10"	12	"game-01"	5252	99
"2013-08-10"	6	"game-01"	5252	119
"2013-08-10"	15	"game-01"	6817	194
"2013-08-10"	23	"game-01"	6817	15
"2013-08-10"	19	"game-01"	6817	73
"2013-08-10"	1	"game-01"	6817	14
"2013-08-10"	8	"game-01"	6817	60
"2013-08-10"	16	"game-01"	6817	50
"2013-08-10"	2	"game-01"	6640	7
"2013-08-10"	1	"game-01"	6640	9
"2013-08-10"	1	"game-01"	4106	9
"2013-08-10"	7	"game-01"	4106	64
"2013-08-10"	0	"game-01"	4106	143
"2013-08-10"	17	"game-01"	3324	66
"2013-08-10"	19	"game-01"	3324	3
"2013-08-10"	20	"game-01"	3324	27
"2013-08-10"	16	"game-01"	3324	29
"2013-08-10"	8	"game-01"	7271	155
"2013-08-10"	16	"game-01"	5105	25
"2013-08-10"	16	"game-01"	7040	1
"2013-08-10"	2	"game-01"	677	12
"2013-08-10"	5	"game-01"	7325	1
