"log_date"	"app_name"	"user_id"	"payment"
"2013-08-20"	"game-01"	776853	2571
"2013-08-20"	"game-01"	497680	81
"2013-08-20"	"game-01"	219501	81
"2013-08-20"	"game-01"	768586	81
"2013-08-20"	"game-01"	692383	333
"2013-08-20"	"game-01"	570270	162
"2013-08-20"	"game-01"	570270	1429
"2013-08-20"	"game-01"	829650	333
"2013-08-20"	"game-01"	844732	81
"2013-08-20"	"game-01"	470911	81
"2013-08-20"	"game-01"	611242	81
"2013-08-20"	"game-01"	611242	571
"2013-08-20"	"game-01"	611242	666
"2013-08-20"	"game-01"	611242	162
"2013-08-20"	"game-01"	259233	81
"2013-08-20"	"game-01"	17920	333
"2013-08-20"	"game-01"	26623	81
