"log_date"	"app_name"	"user_id"	"payment"
"2013-08-25"	"game-01"	776853	162
"2013-08-25"	"game-01"	343705	81
"2013-08-25"	"game-01"	397698	571
"2013-08-25"	"game-01"	397698	162
"2013-08-25"	"game-01"	397698	324
"2013-08-25"	"game-01"	397698	162
"2013-08-25"	"game-01"	436316	571
"2013-08-25"	"game-01"	518124	571
"2013-08-25"	"game-01"	518124	1333
"2013-08-25"	"game-01"	748904	162
"2013-08-25"	"game-01"	565955	162
"2013-08-25"	"game-01"	768586	162
"2013-08-25"	"game-01"	768586	1333
"2013-08-25"	"game-01"	768586	324
"2013-08-25"	"game-01"	768586	571
"2013-08-25"	"game-01"	768586	1333
"2013-08-25"	"game-01"	768586	81
"2013-08-25"	"game-01"	18886	571
"2013-08-25"	"game-01"	18886	1142
"2013-08-25"	"game-01"	18886	81
"2013-08-25"	"game-01"	711765	1333
"2013-08-25"	"game-01"	711765	243
"2013-08-25"	"game-01"	711765	81
"2013-08-25"	"game-01"	711765	162
"2013-08-25"	"game-01"	711765	1142
"2013-08-25"	"game-01"	711765	1333
"2013-08-25"	"game-01"	711765	1142
"2013-08-25"	"game-01"	389492	81
"2013-08-25"	"game-01"	394937	81
"2013-08-25"	"game-01"	574199	162
"2013-08-25"	"game-01"	120216	571
"2013-08-25"	"game-01"	120216	162
"2013-08-25"	"game-01"	120216	1333
"2013-08-25"	"game-01"	120216	2571
"2013-08-25"	"game-01"	49270	162
"2013-08-25"	"game-01"	921347	81
"2013-08-25"	"game-01"	921347	162
"2013-08-25"	"game-01"	921347	81
"2013-08-25"	"game-01"	99774	571
"2013-08-25"	"game-01"	99774	81
"2013-08-25"	"game-01"	978799	729
"2013-08-25"	"game-01"	981360	1333
"2013-08-25"	"game-01"	800232	81
"2013-08-25"	"game-01"	378422	2571
"2013-08-25"	"game-01"	378422	486
"2013-08-25"	"game-01"	378422	1333
"2013-08-25"	"game-01"	959517	162
"2013-08-25"	"game-01"	11595	81
"2013-08-25"	"game-01"	966836	81
"2013-08-25"	"game-01"	423861	1333
"2013-08-25"	"game-01"	855552	243
"2013-08-25"	"game-01"	855552	81
