"log_date"	"app_name"	"user_id"	"payment"
"2013-10-09"	"game-01"	476345	81
"2013-10-09"	"game-01"	343705	81
"2013-10-09"	"game-01"	698195	405
"2013-10-09"	"game-01"	696807	81
"2013-10-09"	"game-01"	885585	81
"2013-10-09"	"game-01"	473727	81
"2013-10-09"	"game-01"	156429	571
"2013-10-09"	"game-01"	156429	571
"2013-10-09"	"game-01"	484271	81
"2013-10-09"	"game-01"	769174	1215
"2013-10-09"	"game-01"	196570	81
"2013-10-09"	"game-01"	430129	81
"2013-10-09"	"game-01"	794654	81
"2013-10-09"	"game-01"	994056	81
"2013-10-09"	"game-01"	257225	476
"2013-10-09"	"game-01"	401902	1296
"2013-10-09"	"game-01"	401902	1863
"2013-10-09"	"game-01"	401902	2571
"2013-10-09"	"game-01"	772769	81
"2013-10-09"	"game-01"	130378	81
"2013-10-09"	"game-01"	696594	1333
"2013-10-09"	"game-01"	678417	571
"2013-10-09"	"game-01"	290307	2571
"2013-10-09"	"game-01"	814175	571
"2013-10-09"	"game-01"	883405	81
"2013-10-09"	"game-01"	148618	81
