"log_date"	"app_name"	"user_id"	"payment"
"2013-09-16"	"game-01"	776853	2571
"2013-09-16"	"game-01"	776853	1333
"2013-09-16"	"game-01"	776120	81
"2013-09-16"	"game-01"	777775	81
"2013-09-16"	"game-01"	777775	81
"2013-09-16"	"game-01"	106832	1701
"2013-09-16"	"game-01"	698195	1429
"2013-09-16"	"game-01"	698195	571
"2013-09-16"	"game-01"	698195	1333
"2013-09-16"	"game-01"	69575	162
"2013-09-16"	"game-01"	696807	333
"2013-09-16"	"game-01"	696807	324
"2013-09-16"	"game-01"	748904	81
"2013-09-16"	"game-01"	473727	81
"2013-09-16"	"game-01"	768586	243
"2013-09-16"	"game-01"	768586	567
"2013-09-16"	"game-01"	692383	666
"2013-09-16"	"game-01"	18886	1429
"2013-09-16"	"game-01"	18886	162
"2013-09-16"	"game-01"	484271	1333
"2013-09-16"	"game-01"	484271	2571
"2013-09-16"	"game-01"	484271	1429
"2013-09-16"	"game-01"	921809	81
"2013-09-16"	"game-01"	846205	81
"2013-09-16"	"game-01"	196570	81
"2013-09-16"	"game-01"	570270	81
"2013-09-16"	"game-01"	794654	81
"2013-09-16"	"game-01"	829650	81
"2013-09-16"	"game-01"	822191	81
"2013-09-16"	"game-01"	445597	333
"2013-09-16"	"game-01"	574199	81
"2013-09-16"	"game-01"	574199	81
"2013-09-16"	"game-01"	402068	81
"2013-09-16"	"game-01"	120216	2571
"2013-09-16"	"game-01"	938686	81
"2013-09-16"	"game-01"	649489	81
"2013-09-16"	"game-01"	600591	1429
"2013-09-16"	"game-01"	5989	1429
"2013-09-16"	"game-01"	321441	405
"2013-09-16"	"game-01"	321441	81
"2013-09-16"	"game-01"	696594	81
"2013-09-16"	"game-01"	696594	333
"2013-09-16"	"game-01"	696594	81
"2013-09-16"	"game-01"	625542	81
"2013-09-16"	"game-01"	259233	333
"2013-09-16"	"game-01"	981360	2571
"2013-09-16"	"game-01"	169662	81
"2013-09-16"	"game-01"	341839	81
