"log_date","user_id","install_time","gender","generation","device_type"
"2013-05-04",1,1367599368,"F","40","iOS"
"2013-05-14",2,1368514618,"M","20","Android"
"2013-05-14",3,1368518894,"F","20","Android"
"2013-05-14",4,1368520967,"F","40","Android"
"2013-05-14",5,1368523275,"F","20","Android"
"2013-05-14",6,1368527040,"F","10","iOS"
"2013-05-14",7,1368531102,"F","20","Android"
"2013-05-14",8,1368534088,"M","20","Android"
"2013-05-14",9,1368536240,"F","20","Android"
"2013-05-14",10,1368538964,"M","30","Android"
"2013-05-14",11,1368541404,"F","20","iOS"
"2013-05-15",12,1368544916,"F","10","Android"
"2013-05-15",13,1368548335,"M","10","Android"
"2013-05-15",14,1368553062,"F","30","iOS"
"2013-05-15",15,1368564767,"M","30","iOS"
"2013-05-15",16,1368574027,"F","30","iOS"
"2013-05-15",17,1368582873,"F","20","iOS"
"2013-05-15",18,1368590536,"M","20","iOS"
"2013-05-15",19,1368598539,"F","10","iOS"
"2013-05-15",20,1368606470,"F","10","iOS"
"2013-05-15",21,1368613854,"M","40","Android"
"2013-05-15",22,1368620351,"F","20","iOS"
"2013-05-15",23,1368626654,"F","30","iOS"
"2013-05-16",24,1368632604,"M","40","Android"
"2013-05-16",25,1368651083,"M","30","Android"
"2013-05-16",26,1368669348,"M","30","Android"
"2013-05-16",27,1368683654,"F","30","iOS"
"2013-05-16",28,1368690350,"M","50","Android"
"2013-05-16",29,1368693750,"F","20","Android"
"2013-05-16",30,1368695766,"M","20","Android"
"2013-05-16",31,1368696719,"F","40","Android"
"2013-05-16",32,1368698019,"F","20","iOS"
"2013-05-16",33,1368699403,"F","30","iOS"
"2013-05-16",34,1368701145,"F","10","iOS"
"2013-05-16",35,1368702832,"M","30","Android"
"2013-05-16",36,1368704686,"M","10","Android"
"2013-05-16",37,1368706398,"F","20","iOS"
"2013-05-16",38,1368708199,"M","30","iOS"
"2013-05-16",39,1368710218,"M","30","Android"
"2013-05-16",40,1368712472,"M","20","Android"
"2013-05-16",41,1368714837,"F","20","iOS"
"2013-05-17",42,1368717884,"M","20","Android"
"2013-05-17",43,1368722305,"M","10","Android"
"2013-05-17",44,1368733522,"M","10","iOS"
"2013-05-17",45,1368746209,"F","50","Android"
"2013-05-17",46,1368755933,"M","20","iOS"
"2013-05-17",47,1368762635,"M","20","Android"
"2013-05-17",48,1368768588,"F","30","Android"
"2013-05-17",49,1368775023,"M","30","Android"
"2013-05-17",50,1368777998,"F","20","Android"
"2013-05-17",51,1368778263,"M","10","iOS"
"2013-05-17",52,1368778525,"F","10","Android"
"2013-05-17",53,1368778700,"F","30","Android"
"2013-05-17",54,1368778940,"M","40","iOS"
"2013-05-17",55,1368779172,"F","20","iOS"
"2013-05-17",56,1368779404,"M","30","Android"
"2013-05-17",57,1368779595,"M","30","Android"
"2013-05-17",58,1368779720,"M","30","Android"
"2013-05-17",59,1368779843,"F","40","Android"
"2013-05-17",60,1368779982,"M","10","iOS"
"2013-05-17",61,1368780131,"M","10","Android"
"2013-05-17",62,1368780324,"M","10","iOS"
"2013-05-17",63,1368780507,"M","30","iOS"
"2013-05-17",64,1368780681,"M","20","Android"
"2013-05-17",65,1368780844,"M","30","Android"
"2013-05-17",66,1368780996,"M","20","iOS"
"2013-05-17",67,1368781175,"F","30","Android"
"2013-05-17",68,1368781347,"M","10","Android"
"2013-05-17",69,1368781518,"F","30","iOS"
"2013-05-17",70,1368781706,"F","40","iOS"
"2013-05-17",71,1368781864,"M","30","iOS"
"2013-05-17",72,1368782012,"F","40","Android"
"2013-05-17",73,1368782186,"F","20","iOS"
"2013-05-17",74,1368782319,"M","20","Android"
"2013-05-17",75,1368782503,"M","30","Android"
"2013-05-17",76,1368782639,"F","30","Android"
"2013-05-17",77,1368782803,"M","10","iOS"
"2013-05-17",78,1368782977,"F","30","iOS"
"2013-05-17",79,1368783136,"M","30","iOS"
"2013-05-17",80,1368783312,"M","10","Android"
"2013-05-17",81,1368783473,"M","20","Android"
"2013-05-17",82,1368783642,"F","40","iOS"
"2013-05-17",83,1368783820,"M","20","iOS"
"2013-05-17",84,1368784007,"F","30","iOS"
"2013-05-17",85,1368784178,"M","20","Android"
"2013-05-17",86,1368784342,"M","20","iOS"
"2013-05-17",87,1368784519,"F","20","Android"
"2013-05-17",88,1368784680,"F","30","iOS"
"2013-05-17",89,1368784832,"M","20","iOS"
"2013-05-17",90,1368784995,"M","20","iOS"
"2013-05-17",91,1368785146,"M","30","Android"
"2013-05-17",92,1368785305,"F","50","Android"
"2013-05-17",93,1368785456,"F","30","iOS"
"2013-05-17",94,1368785601,"M","20","Android"
"2013-05-17",95,1368785762,"M","10","Android"
"2013-05-17",96,1368785927,"F","20","iOS"
"2013-05-17",97,1368786067,"M","30","iOS"
"2013-05-17",98,1368786197,"F","30","iOS"
"2013-05-17",99,1368786364,"F","10","Android"
"2013-05-17",100,1368786535,"F","20","iOS"
"2013-05-17",101,1368786721,"M","30","Android"
"2013-05-17",102,1368786869,"F","20","Android"
"2013-05-17",103,1368787005,"M","20","Android"
"2013-05-17",104,1368787152,"M","20","Android"
"2013-05-17",105,1368787299,"F","20","iOS"
"2013-05-17",106,1368787440,"F","10","Android"
"2013-05-17",107,1368787560,"M","30","Android"
"2013-05-17",108,1368787713,"M","20","Android"
"2013-05-17",109,1368787849,"F","30","Android"
"2013-05-17",110,1368787982,"F","40","Android"
"2013-05-17",111,1368788129,"M","30","Android"
"2013-05-17",112,1368788290,"M","30","iOS"
"2013-05-17",113,1368788426,"M","30","Android"
"2013-05-17",114,1368788565,"F","50","iOS"
"2013-05-17",115,1368788706,"F","20","iOS"
"2013-05-17",116,1368788883,"F","30","Android"
"2013-05-17",117,1368789031,"F","10","iOS"
"2013-05-17",118,1368789170,"F","10","iOS"
"2013-05-17",119,1368789319,"F","30","Android"
"2013-05-17",120,1368789463,"F","40","iOS"
"2013-05-17",121,1368789612,"M","30","Android"
"2013-05-17",122,1368789769,"F","20","iOS"
"2013-05-17",123,1368789923,"F","30","Android"
"2013-05-17",124,1368790100,"F","30","iOS"
"2013-05-17",125,1368790247,"F","40","iOS"
"2013-05-17",126,1368790423,"M","30","Android"
"2013-05-17",127,1368790601,"F","10","Android"
"2013-05-17",128,1368790758,"M","10","Android"
"2013-05-17",129,1368790941,"F","40","iOS"
"2013-05-17",130,1368791115,"M","10","Android"
"2013-05-17",131,1368791300,"M","30","Android"
"2013-05-17",132,1368791460,"F","20","Android"
"2013-05-17",133,1368791651,"F","20","Android"
"2013-05-17",134,1368791879,"M","30","iOS"
"2013-05-17",135,1368792019,"F","30","iOS"
"2013-05-17",136,1368792170,"F","30","Android"
"2013-05-17",137,1368792359,"M","50","iOS"
"2013-05-17",138,1368792555,"M","30","Android"
"2013-05-17",139,1368792880,"F","20","Android"
"2013-05-17",140,1368793147,"F","10","Android"
"2013-05-17",141,1368793327,"F","20","Android"
"2013-05-17",142,1368793547,"F","20","iOS"
"2013-05-17",143,1368793736,"M","10","Android"
"2013-05-17",144,1368793964,"M","30","Android"
"2013-05-17",145,1368794228,"M","30","iOS"
"2013-05-17",146,1368794668,"M","30","iOS"
"2013-05-17",147,1368794842,"F","20","Android"
"2013-05-17",148,1368795064,"F","20","Android"
"2013-05-17",149,1368795275,"M","30","iOS"
"2013-05-17",150,1368795475,"M","20","Android"
"2013-05-17",151,1368795722,"M","20","iOS"
"2013-05-17",152,1368795941,"M","50","iOS"
"2013-05-17",153,1368796140,"M","10","Android"
"2013-05-17",154,1368796371,"F","30","Android"
"2013-05-17",155,1368796580,"M","30","iOS"
"2013-05-17",156,1368796804,"F","40","Android"
"2013-05-17",157,1368797043,"M","10","iOS"
"2013-05-17",158,1368797343,"F","30","iOS"
"2013-05-17",159,1368797641,"F","30","iOS"
"2013-05-17",160,1368798032,"F","10","Android"
"2013-05-17",161,1368798376,"F","20","Android"
"2013-05-17",162,1368798742,"M","20","Android"
"2013-05-17",163,1368799097,"M","10","Android"
"2013-05-17",164,1368799439,"M","20","iOS"
"2013-05-17",165,1368799834,"M","20","Android"
"2013-05-17",166,1368800282,"M","10","Android"
"2013-05-17",167,1368800666,"F","40","iOS"
"2013-05-17",168,1368801003,"F","20","Android"
"2013-05-17",169,1368801364,"M","20","Android"
"2013-05-17",170,1368801822,"F","50","iOS"
"2013-05-17",171,1368802303,"M","10","Android"
"2013-05-17",172,1368802738,"M","10","iOS"
"2013-05-18",173,1368803245,"F","10","iOS"
"2013-05-18",174,1368803566,"M","30","iOS"
"2013-05-18",175,1368803915,"M","20","iOS"
"2013-05-18",176,1368804283,"F","10","Android"
"2013-05-18",177,1368804618,"M","40","iOS"
"2013-05-18",178,1368804962,"M","20","iOS"
"2013-05-18",179,1368805345,"F","20","iOS"
"2013-05-18",180,1368805777,"F","30","iOS"
"2013-05-18",181,1368806219,"M","20","Android"
"2013-05-18",182,1368806699,"M","20","Android"
"2013-05-18",183,1368807186,"M","30","iOS"
"2013-05-18",184,1368807630,"M","20","Android"
"2013-05-18",185,1368808121,"F","30","Android"
"2013-05-18",186,1368808574,"M","40","Android"
"2013-05-18",187,1368809184,"F","40","iOS"
"2013-05-18",188,1368809867,"M","30","iOS"
"2013-05-18",189,1368810658,"M","30","iOS"
"2013-05-18",190,1368811348,"M","20","iOS"
"2013-05-18",191,1368812302,"M","30","iOS"
"2013-05-18",192,1368813376,"M","20","iOS"
"2013-05-18",193,1368814400,"M","30","iOS"
"2013-05-18",194,1368815803,"M","20","Android"
"2013-05-18",195,1368817435,"M","30","iOS"
"2013-05-18",196,1368819023,"F","30","Android"
"2013-05-18",197,1368821260,"M","30","Android"
"2013-05-18",198,1368822576,"M","40","iOS"
"2013-05-18",199,1368823814,"M","20","iOS"
"2013-05-18",200,1368825025,"M","50","Android"
"2013-05-18",201,1368826067,"F","30","Android"
"2013-05-18",202,1368826954,"F","20","Android"
"2013-05-18",203,1368827694,"M","50","Android"
"2013-05-18",204,1368828473,"M","20","iOS"
"2013-05-18",205,1368829195,"F","20","Android"
"2013-05-18",206,1368829852,"M","50","Android"
"2013-05-18",207,1368830377,"M","50","Android"
"2013-05-18",208,1368830884,"M","20","Android"
"2013-05-18",209,1368831407,"F","30","Android"
"2013-05-18",210,1368831902,"F","20","iOS"
"2013-05-18",211,1368832436,"F","40","Android"
"2013-05-18",212,1368832928,"F","40","Android"
"2013-05-18",213,1368833528,"F","20","iOS"
"2013-05-18",214,1368834049,"M","20","iOS"
"2013-05-18",215,1368834854,"M","10","iOS"
"2013-05-18",216,1368835396,"F","50","iOS"
"2013-05-18",217,1368835921,"F","30","Android"
"2013-05-18",218,1368836421,"M","20","Android"
"2013-05-18",219,1368836928,"F","30","Android"
"2013-05-18",220,1368837425,"M","30","Android"
"2013-05-18",221,1368837905,"M","30","iOS"
"2013-05-18",222,1368838428,"F","30","iOS"
"2013-05-18",223,1368838967,"F","10","iOS"
"2013-05-18",224,1368839450,"F","30","Android"
"2013-05-18",225,1368839945,"F","20","Android"
"2013-05-18",226,1368840558,"F","10","iOS"
"2013-05-18",227,1368841063,"F","30","Android"
"2013-05-18",228,1368841525,"M","20","iOS"
"2013-05-18",229,1368842079,"M","10","Android"
"2013-05-18",230,1368842584,"F","20","Android"
"2013-05-18",231,1368843074,"F","40","Android"
"2013-05-18",232,1368843596,"M","20","iOS"
"2013-05-18",233,1368844257,"M","10","iOS"
"2013-05-18",234,1368844722,"F","50","Android"
"2013-05-18",235,1368845328,"F","10","Android"
"2013-05-18",236,1368845831,"F","30","Android"
"2013-05-18",237,1368846348,"F","10","Android"
"2013-05-18",238,1368846999,"F","20","Android"
"2013-05-18",239,1368847573,"M","20","iOS"
"2013-05-18",240,1368848103,"M","20","Android"
"2013-05-18",241,1368848518,"F","20","iOS"
"2013-05-18",242,1368849045,"M","30","iOS"
"2013-05-18",243,1368849571,"F","10","iOS"
"2013-05-18",244,1368850166,"F","20","iOS"
"2013-05-18",245,1368850683,"F","20","Android"
"2013-05-18",246,1368851163,"M","30","Android"
"2013-05-18",247,1368851700,"F","30","Android"
"2013-05-18",248,1368852223,"F","30","iOS"
"2013-05-18",249,1368852745,"M","40","Android"
"2013-05-18",250,1368853241,"M","30","iOS"
"2013-05-18",251,1368853814,"M","20","Android"
"2013-05-18",252,1368854384,"F","30","Android"
"2013-05-18",253,1368854919,"M","10","Android"
"2013-05-18",254,1368855528,"F","30","Android"
"2013-05-18",255,1368856107,"M","20","Android"
"2013-05-18",256,1368856765,"F","20","iOS"
"2013-05-18",257,1368857362,"M","20","Android"
"2013-05-18",258,1368857980,"F","20","Android"
"2013-05-18",259,1368858612,"M","20","iOS"
"2013-05-18",260,1368859229,"F","50","iOS"
"2013-05-18",261,1368859793,"F","20","iOS"
"2013-05-18",262,1368860453,"M","30","Android"
"2013-05-18",263,1368861134,"F","20","Android"
"2013-05-18",264,1368861666,"M","40","Android"
"2013-05-18",265,1368862175,"F","10","iOS"
"2013-05-18",266,1368862894,"F","10","iOS"
"2013-05-18",267,1368863559,"F","30","Android"
"2013-05-18",268,1368864276,"F","20","iOS"
"2013-05-18",269,1368864869,"F","20","iOS"
"2013-05-18",270,1368865469,"F","30","iOS"
"2013-05-18",271,1368866081,"M","20","iOS"
"2013-05-18",272,1368866662,"M","30","Android"
"2013-05-18",273,1368867127,"F","40","Android"
"2013-05-18",274,1368867674,"F","30","Android"
"2013-05-18",275,1368868246,"F","30","iOS"
"2013-05-18",276,1368868794,"F","40","Android"
"2013-05-18",277,1368869434,"F","10","Android"
"2013-05-18",278,1368870002,"F","30","iOS"
"2013-05-18",279,1368870638,"M","20","Android"
"2013-05-18",280,1368871239,"F","20","iOS"
"2013-05-18",281,1368871913,"F","40","Android"
"2013-05-18",282,1368872447,"F","40","iOS"
"2013-05-18",283,1368873097,"F","20","iOS"
"2013-05-18",284,1368873842,"F","10","iOS"
"2013-05-18",285,1368874549,"M","20","iOS"
"2013-05-18",286,1368875292,"F","10","Android"
"2013-05-18",287,1368876238,"F","20","iOS"
"2013-05-18",288,1368877241,"M","30","iOS"
"2013-05-18",289,1368878150,"F","30","iOS"
"2013-05-18",290,1368879067,"F","10","Android"
"2013-05-18",291,1368880095,"M","10","iOS"
"2013-05-18",292,1368881166,"F","20","iOS"
"2013-05-18",293,1368882109,"M","50","Android"
"2013-05-18",294,1368883016,"F","30","iOS"
"2013-05-18",295,1368883805,"M","40","iOS"
"2013-05-18",296,1368884591,"F","20","Android"
