"region_month","region_day","app_name","user_id","device"
"2013-01","2013-01-01","game-02",10061580,"FP"
"2013-01","2013-01-01","game-02",10154440,"FP"
"2013-01","2013-01-01","game-02",10164762,"SP"
"2013-01","2013-01-01","game-02",10165615,"FP"
"2013-01","2013-01-01","game-02",10321356,"FP"
"2013-01","2013-01-01","game-02",10406653,"SP"
"2013-01","2013-01-01","game-02",10447112,"FP"
"2013-01","2013-01-01","game-02",10479169,"FP"
"2013-01","2013-01-01","game-02",10494712,"SP"
"2013-01","2013-01-01","game-02",10513749,"FP"
"2013-01","2013-01-01","game-02",10528830,"FP"
"2013-01","2013-01-01","game-02",10575741,"SP"
"2013-01","2013-01-01","game-02",10588037,"SP"
"2013-01","2013-01-01","game-02",10687075,"FP"
"2013-01","2013-01-01","game-02",10718123,"SP"
"2013-01","2013-01-01","game-02",10782295,"SP"
"2013-01","2013-01-01","game-02",10793381,"FP"
"2013-01","2013-01-01","game-02",10927434,"FP"
"2013-01","2013-01-01","game-02",11014143,"FP"
"2013-01","2013-01-01","game-02",11063425,"FP"
"2013-01","2013-01-01","game-02",11183689,"FP"
"2013-01","2013-01-01","game-02",11237727,"FP"
"2013-01","2013-01-01","game-02",11310211,"SP"
"2013-01","2013-01-01","game-02",11315802,"FP"
"2013-01","2013-01-01","game-02",11343048,"SP"
"2013-01","2013-01-01","game-02",11436340,"SP"
"2013-01","2013-01-01","game-02",11481764,"SP"
"2013-01","2013-01-01","game-02",11490891,"FP"
"2013-01","2013-01-01","game-02",11526971,"FP"
"2013-01","2013-01-01","game-02",11532900,"SP"
"2013-01","2013-01-01","game-02",11552975,"FP"
"2013-01","2013-01-01","game-02",1157648,"SP"
"2013-01","2013-01-01","game-02",11607378,"FP"
"2013-01","2013-01-01","game-02",1163733,"FP"
"2013-01","2013-01-01","game-02",11727630,"FP"
"2013-01","2013-01-01","game-02",11743965,"FP"
"2013-01","2013-01-01","game-02",11754477,"SP"
"2013-01","2013-01-01","game-02",11761672,"SP"
"2013-01","2013-01-01","game-02",11821562,"FP"
"2013-01","2013-01-01","game-02",11938172,"FP"
"2013-01","2013-01-01","game-02",12042372,"FP"
"2013-01","2013-01-01","game-02",12184745,"FP"
"2013-01","2013-01-01","game-02",12214955,"SP"
"2013-01","2013-01-01","game-02",12221228,"SP"
"2013-01","2013-01-01","game-02",12319534,"FP"
"2013-01","2013-01-01","game-02",12391088,"FP"
"2013-01","2013-01-01","game-02",12481659,"FP"
"2013-01","2013-01-01","game-02",12512112,"FP"
"2013-01","2013-01-01","game-02",12609023,"SP"
"2013-01","2013-01-01","game-02",12609465,"FP"
"2013-01","2013-01-01","game-02",12639926,"FP"
"2013-01","2013-01-01","game-02",12663659,"FP"
"2013-01","2013-01-01","game-02",12677311,"FP"
"2013-01","2013-01-01","game-02",12830546,"FP"
"2013-01","2013-01-01","game-02",12882994,"FP"
"2013-01","2013-01-01","game-02",12925701,"SP"
"2013-01","2013-01-01","game-02",12955041,"FP"
"2013-01","2013-01-01","game-02",12961481,"SP"
"2013-01","2013-01-01","game-02",13082340,"FP"
"2013-01","2013-01-01","game-02",13168395,"FP"
"2013-01","2013-01-01","game-02",13198345,"FP"
"2013-01","2013-01-01","game-02",13267554,"FP"
"2013-01","2013-01-01","game-02",13283871,"FP"
"2013-01","2013-01-01","game-02",13401362,"FP"
"2013-01","2013-01-01","game-02",13488691,"FP"
"2013-01","2013-01-01","game-02",13547364,"FP"
"2013-01","2013-01-01","game-02",13630951,"FP"
"2013-01","2013-01-01","game-02",13656619,"FP"
"2013-01","2013-01-01","game-02",13667576,"FP"
"2013-01","2013-01-01","game-02",13697507,"FP"
"2013-01","2013-01-01","game-02",13723962,"FP"
"2013-01","2013-01-01","game-02",13736871,"FP"
"2013-01","2013-01-01","game-02",13808840,"FP"
"2013-01","2013-01-01","game-02",13889913,"SP"
"2013-01","2013-01-01","game-02",13991868,"FP"
"2013-01","2013-01-01","game-02",14026504,"FP"
