"log_date"	"app_name"	"user_id"	"payment"
"2013-06-27"	"game-01"	698195	162
"2013-06-27"	"game-01"	183356	571
"2013-06-27"	"game-01"	804005	571
"2013-06-27"	"game-01"	373075	162
"2013-06-27"	"game-01"	518124	571
"2013-06-27"	"game-01"	473727	810
"2013-06-27"	"game-01"	727767	81
"2013-06-27"	"game-01"	569800	571
"2013-06-27"	"game-01"	549194	571
"2013-06-27"	"game-01"	549194	162
"2013-06-27"	"game-01"	549194	571
"2013-06-27"	"game-01"	211199	571
"2013-06-27"	"game-01"	538108	1333
"2013-06-27"	"game-01"	26623	486
