"log_date","app_name","action_name","user_id","count"
"2013-07-10","game-01","help",10,3
"2013-07-10","game-01","help",13,26
"2013-07-10","game-01","help",24,8
"2013-07-10","game-01","help",44,18
"2013-07-10","game-01","help",164,6
"2013-07-10","game-01","help",204,3
"2013-07-10","game-01","help",301,14
"2013-07-10","game-01","help",377,2
"2013-07-10","game-01","help",457,9
"2013-07-10","game-01","help",458,15
"2013-07-10","game-01","help",480,2
"2013-07-10","game-01","help",484,1
"2013-07-10","game-01","help",565,2
"2013-07-10","game-01","help",692,16
"2013-07-10","game-01","help",778,1
"2013-07-10","game-01","help",851,1
"2013-07-10","game-01","help",941,5
"2013-07-10","game-01","help",972,6
"2013-07-10","game-01","help",974,7
"2013-07-10","game-01","help",999,4
"2013-07-10","game-01","help",1068,1
"2013-07-10","game-01","help",1143,11
"2013-07-10","game-01","help",1158,16
"2013-07-10","game-01","help",1167,5
"2013-07-10","game-01","help",1184,46
"2013-07-10","game-01","help",1189,3
"2013-07-10","game-01","help",1269,1
"2013-07-10","game-01","help",1369,6
"2013-07-10","game-01","help",1469,1
"2013-07-10","game-01","help",1481,1
"2013-07-10","game-01","help",1484,16
"2013-07-10","game-01","help",1590,4
"2013-07-10","game-01","help",1636,7
"2013-07-10","game-01","help",1661,3
"2013-07-10","game-01","help",1775,7
"2013-07-10","game-01","help",1789,14
"2013-07-10","game-01","help",1818,5
"2013-07-10","game-01","help",1866,1
"2013-07-10","game-01","help",1870,12
"2013-07-10","game-01","help",1940,9
"2013-07-10","game-01","help",1995,8
"2013-07-10","game-01","help",2060,6
"2013-07-10","game-01","help",2075,10
"2013-07-10","game-01","help",2087,13
"2013-07-10","game-01","help",2155,2
"2013-07-10","game-01","help",2160,1
"2013-07-10","game-01","help",2162,4
"2013-07-10","game-01","help",2167,1
"2013-07-10","game-01","help",2191,3
"2013-07-10","game-01","help",2202,4
"2013-07-10","game-01","help",2214,2
"2013-07-10","game-01","help",2258,9
"2013-07-10","game-01","help",2262,3
"2013-07-10","game-01","help",2265,2
"2013-07-10","game-01","help",2344,12
"2013-07-10","game-01","help",2353,3
"2013-07-10","game-01","help",2359,5
"2013-07-10","game-01","help",2395,1
"2013-07-10","game-01","help",2398,1
"2013-07-10","game-01","help",2484,1
"2013-07-10","game-01","help",2495,14
"2013-07-10","game-01","help",2501,2
"2013-07-10","game-01","help",2510,5
"2013-07-10","game-01","help",2668,3
"2013-07-10","game-01","help",2678,6
"2013-07-10","game-01","help",2681,17
"2013-07-10","game-01","help",2682,5
"2013-07-10","game-01","help",2685,2
"2013-07-10","game-01","help",2694,23
"2013-07-10","game-01","help",2696,3
"2013-07-10","game-01","help",2700,5
"2013-07-10","game-01","help",2704,8
"2013-07-10","game-01","help",2708,4
"2013-07-10","game-01","help",2716,11
"2013-07-10","game-01","help",2720,1
"2013-07-10","game-01","help",2727,26
"2013-07-10","game-01","help",2737,5
"2013-07-10","game-01","help",2739,7
"2013-07-10","game-01","help",2741,1
"2013-07-10","game-01","help",2742,4
"2013-07-10","game-01","help",2743,1
"2013-07-10","game-01","help",2745,2
