"log_date"	"app_name"	"user_id"	"payment"
"2013-10-21"	"game-01"	233368	95
"2013-10-21"	"game-01"	401184	95
"2013-10-21"	"game-01"	696807	1619
"2013-10-21"	"game-01"	696807	381
"2013-10-21"	"game-01"	518124	95
"2013-10-21"	"game-01"	18886	380
"2013-10-21"	"game-01"	711765	190
"2013-10-21"	"game-01"	711765	1619
"2013-10-21"	"game-01"	711765	1334
"2013-10-21"	"game-01"	21223	95
"2013-10-21"	"game-01"	766653	95
"2013-10-21"	"game-01"	430129	762
"2013-10-21"	"game-01"	950445	667
"2013-10-21"	"game-01"	257225	190
"2013-10-21"	"game-01"	401902	3238
"2013-10-21"	"game-01"	60643	95
"2013-10-21"	"game-01"	142777	190
"2013-10-21"	"game-01"	142777	95
"2013-10-21"	"game-01"	390866	95
"2013-10-21"	"game-01"	460009	190
